0,1,2,3,4,target
1.013879,1.569001,4.953764,5.839194,5.638236,0.335222
2.576792,3.315584,4.137128,4.908913,3.652923,0.939672
3.513599,2.954788,2.435101,2.192256,2.207058,1.456421
4.274983,3.187329,3.452966,4.089108,0.408732,0.6772
3.516319,2.482858,4.924555,6.014337,5.628069,0.396339
3.579467,5.851385,4.672258,4.596929,4.860739,0.448931
0.188923,1.342923,0.916084,5.578029,1.819555,0.356755
3.677022,4.028738,0.467789,5.044232,2.726611,0.581992
0.672996,5.743956,3.409221,1.457949,5.424139,0.379275
5.998207,3.231532,0.71583,0.631972,5.024291,0.345237
